LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Richmond	TD0	- National Physical Laboratory, Teddington	Suburban	2018-01-01 00:00:00	1996-08-08 00:00:00	51.4243043441456	-0.345714576446947
Barking and Dagenham	BG3	Barking and Dagenham - North Street	Kerbside	2011-05-25 00:00:00	2007-03-16 00:00:00	51.540444	0.074418
Barking and Dagenham	BG1	Barking and Dagenham - Rush Green	Suburban		1999-11-02 00:00:00	51.563752	0.177891
Barking and Dagenham	BG2	Barking and Dagenham - Scrattons Farm	Suburban		1999-10-17 00:00:00	51.529389	0.132857
Barnet	BN2	Barnet - Finchley	Urban Background	2012-04-20 00:00:00	2000-08-09 13:00:00	51.591901	-0.205992
Barnet	BN3	Barnet - Strawberry Vale 	Urban Background	2002-05-15 00:00:00	2000-08-14 14:00:00	51.6008848453589	-0.172297542087178
Barnet	BN1	Barnet - Tally Ho Corner	Kerbside	2012-04-20 00:00:00	1998-12-20 12:00:00	51.614675	-0.176607
Bexley	BX5	Bexley - Bedonwell 	Suburban	2004-04-08 00:00:00	1999-10-06 13:00:00	51.4788023547334	0.133873839062683
Bexley	BX2	Bexley - Belvedere	Suburban		1998-01-24 15:00:00	51.4906102082147	0.158914493927518
Bexley	BX0	Bexley - Belvedere FDMS	Suburban	2022-01-28 00:00:00	2004-04-28 00:00:00	51.4906102082147	0.158914493927518
Bexley	BQ7	Bexley - Belvedere West	Urban Background		2010-08-24 00:00:00	51.4946486813055	0.137279111232178
Bexley	BQ8	Bexley - Belvedere West FDMS	Urban Background	2022-02-23 00:00:00	2010-08-24 00:00:00	51.4946486813055	0.137279111232178
Bexley	BX4	Bexley - Erith	Industrial	2014-12-19 00:00:00	1999-04-28 00:00:00	51.477670796298	0.190836225974902
Bexley	BQ6	Bexley - Manor Road East Gravimetric	Industrial	2014-10-28 00:00:00	2010-02-12 00:00:00	51.477670796298	0.190836225974902
Bexley	BQ5	Bexley - Manor Road West Gravimetric	Industrial	2014-10-28 00:00:00	1999-04-28 09:00:00	51.4781935083933	0.187404883999095
Bexley	BX1	Bexley - Slade Green	Suburban		1994-05-25 00:00:00	51.4659832746662	0.184877126994369
Bexley	BX9	Bexley - Slade Green FDMS	Suburban	2020-10-01 00:00:00	2008-10-21 00:00:00	51.4659832746662	0.184877126994369
Bexley	BQ9	Bexley - Slade Green Fidas	Suburban		2020-10-01 00:00:00	51.4659832746662	0.184877126994369
Bexley	BX7	Bexley - Thames Road North	Roadside	2010-03-23 00:00:00	2004-04-08 00:00:00	51.457159	0.195294
Bexley	BX6	Bexley - Thames Road North FDMS	Roadside	2010-03-23 00:00:00	2004-04-08 00:00:00	51.457159	0.195294
Bexley	BX8	Bexley - Thames Road South	Roadside	2010-04-15 00:00:00	2004-04-06 00:00:00	51.456887	0.194582
Bexley	BX3	Bexley - Thamesmead	Suburban	2018-03-12 00:00:00	1998-01-24 15:00:00	51.510808	0.121617
Bexley	BQ3	Bexley 8 - Traffic(E fast)	Kerbside	2010-04-13 00:00:00	2007-08-14 00:00:00	51.4568546603968	0.194546362638148
Bexley	BQ4	Bexley 8 - Traffic(E slow - nearest BX7)	Kerbside	2010-04-13 00:00:00	2007-08-14 00:00:00	51.4568546603968	0.194546362638148
Bexley	BQ2	Bexley 8 - Traffic(W fast)	Kerbside	2010-04-13 00:00:00	2007-08-14 00:00:00	51.4568546603968	0.194546362638148
Bexley	BQ1	Bexley 8 - Traffic(W slow - nearest BX8)	Kerbside	2010-04-13 00:00:00	2007-08-14 00:00:00	51.4568546603968	0.194546362638148
Brent	BT8	Brent - ARK Franklin Primary Academy	Roadside		2017-10-30 00:00:00	51.5324054617809	-0.217718908639377
Brent	BT3	Brent - Harlesden	Roadside	2006-09-27 00:00:00	2001-10-31 00:00:00	51.5370800298103	-0.249273425299457
Brent	BT4	Brent - Ikea	Roadside		2003-06-20 06:00:00	51.552476	-0.258089
Brent	BT2	Brent - Ikea Car Park	Roadside	2003-06-16 00:00:00	2001-06-17 12:00:00	51.5524326273922	-0.260338843869077
Brent	BT6	Brent - John Keble Primary School	Roadside		2006-11-01 00:00:00	51.537799	-0.247793
Brent	BT1	Brent - Kingsbury	Suburban	2010-11-16 00:00:00	1996-01-26 00:00:00	51.589618	-0.275519
Brent	BT5	Brent - Neasden Lane	Industrial		2004-02-29 23:00:00	51.552656	-0.248774
Brent	BT7	Brent - St Marys Primary School	Urban Background	2010-12-21 00:00:00	2008-01-04 00:00:00	51.534718	-0.196664
Bromley	BY5	Bromley - Biggin Hill	Suburban	2010-07-09 08:45:00	1996-04-01 00:00:00	51.314562	0.042019
Bromley	BY7	Bromley - Harwood Avenue	Roadside		1998-07-06 11:00:00	51.405546	0.018882
Bromley	BY1	Bromley - Rent Office	Urban Background	1996-01-11 21:00:00	1993-01-01 00:00:00	51.4132338948359	0.00721471618770671
Bromley	BY4	Bromley - Tweedy Rd	Roadside	1998-07-06 10:45:00	1996-01-28 11:00:00	51.403834810795	0.020390228913718
Camden	BL0	Camden - Bloomsbury	Urban Background		1992-01-23 00:00:00	51.522287	-0.125848
Camden	KX4	Camden - Coopers Lane	Industrial	2020-07-01 00:00:00	2009-07-01 00:00:00	51.533238	-0.129594
Camden	CD9	Camden - Euston Road	Roadside	2020-07-02 00:00:00	2011-01-29 00:00:00	51.527975	-0.1287742
